[Fri Nov 23 09:59:47.222886 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206ad0f6410/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite '' -> 'index.php'
[Fri Nov 23 09:59:47.222886 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206ad0f6410/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php
[Fri Nov 23 09:59:47.222886 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206ad0f6410/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT]
[Fri Nov 23 09:59:47.223887 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php'
[Fri Nov 23 09:59:47.223887 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE]
[Fri Nov 23 09:59:49.013198 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe86b70/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'cart-items' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.650312 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.650312 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.651331 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.651331 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.734308 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe9ac10/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite '' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.734308 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe9ac10/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.735307 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe9ac10/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.735307 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:50.735307 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.697544 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe86b70/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'cart-items' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.698544 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe86b70/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.698544 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe86b70/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.698544 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.698544 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.781557 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92bd0/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite '' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.781557 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92bd0/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.781557 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92bd0/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.781557 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:51.781557 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.711561 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'cart-items' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.711561 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.711561 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.711561 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.711561 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.797560 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206ad0f6410/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite '' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.797560 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206ad0f6410/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.797560 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206ad0f6410/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.798559 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:52.798559 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.824364 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe86b70/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'cart-items' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.824364 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe86b70/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.824364 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe86b70/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.824364 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.824364 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.901362 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe96bf0/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite '' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.901362 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe96bf0/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.901362 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe96bf0/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.901362 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:53.901362 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92450/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:57.931286 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'cart-items' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:57.931286 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:57.931286 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe88b80/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:57.931286 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite 'index.php' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:57.931286 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe92490/initial/redir#1] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] initial URL equal rewritten URL: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php [IGNORING REWRITE], referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:58.012283 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe9ac10/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] rewrite '' -> 'index.php', referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:58.012283 2018] [rewrite:trace2] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe9ac10/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] strip document_root prefix: C:/Server/data/htdocs/Project/hexlet-slim-example2/public/index.php -> /index.php, referer: http://hexlet-slim-example2/
[Fri Nov 23 09:59:58.012283 2018] [rewrite:trace1] [pid 12252:tid 1236] mod_rewrite.c(482): [client 127.0.0.1:52820] 127.0.0.1 - - [hexlet-slim-example2/sid#206ad0d1450][rid#206afe9ac10/initial] [perdir C:/Server/data/htdocs/Project/hexlet-slim-example2/public/] internal redirect with /index.php [INTERNAL REDIRECT], referer: http://hexlet-slim-example2/
